Site_Collection,Base_URL,Full_URL,Include
/,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/,
/sites/AdministrativeApplications,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/AdministrativeApplications,
/sites/CDSpecialEvents,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CDSpecialEvents,
/sites/CDSpecialProjects,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CDSpecialProjects,
/sites/CDVacations,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CDVacations,
/sites/CDWirelessProject,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CDWirelessProject,
/sites/CityClerkDepartment,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment,
/sites/CityEmployeeEvents,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CityEmployeeEvents,
/sites/CityGrants,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CityGrants,
/sites/CityHallITDept,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept,
/sites/CityPolicies,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CityPolicies,
/sites/CodeEnforcement,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CodeEnforcement,
/sites/CommunityDevelopment,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CommunityDevelopment,
/sites/CommunityDevelopmentProjects,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/CommunityDevelopmentProjects,
/sites/Engineering,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/Engineering,
/sites/FacilitiesMaintenance,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/FacilitiesMaintenance,
/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,
/sites/Generaltesting,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/Generaltesting,
/sites/GISDeptartment,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/GISDeptartment,
/sites/HRDept,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/HRDept,
/sites/HumanResources,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/HumanResources,
/sites/KirbysProjectplanning,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/KirbysProjectplanning,
/sites/LegalDepartment,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment,
/sites/MassGrading,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/MassGrading,
/sites/MediaDepartment,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/MediaDepartment,
/sites/MonthlyReport,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/MonthlyReport,
/sites/News,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/News,
/sites/ParksDepartment,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/ParksDepartment,
/sites/PF_Benefits,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/PF_Benefits,
/sites/PF_Department_Onboarding,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/PF_Department_Onboarding,
/sites/PF_Employee_Onboarding,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/PF_Employee_Onboarding,
/sites/PF_PreOnboarding,https://postfallsidahoorg.sharepoint.com,https://postfallsidahoorg.sharepoint.com/sites/PF_PreOnboarding,
