"Scope","Title","InternalName","TypeAsString"
"/sites/FinanceDepartment/941ReportsDocs","ID","ID","Counter"
"/sites/FinanceDepartment/941ReportsDocs","Content Type ID","ContentTypeId","ContentTypeId"
"/sites/FinanceDepartment/941ReportsDocs","Content Type","ContentType","Computed"
"/sites/FinanceDepartment/941ReportsDocs","Created","Created","DateTime"
"/sites/FinanceDepartment/941ReportsDocs","Created By","Author","User"
"/sites/FinanceDepartment/941ReportsDocs","Modified","Modified","DateTime"
"/sites/FinanceDepartment/941ReportsDocs","Modified By","Editor","User"
"/sites/FinanceDepartment/941ReportsDocs","Has Copy Destinations","_HasCopyDestinations","Boolean"
"/sites/FinanceDepartment/941ReportsDocs","Copy Source","_CopySource","Text"
"/sites/FinanceDepartment/941ReportsDocs","Approval Status","_ModerationStatus","ModStat"
"/sites/FinanceDepartment/941ReportsDocs","Approver Comments","_ModerationComments","Note"
"/sites/FinanceDepartment/941ReportsDocs","URL Path","FileRef","Lookup"
"/sites/FinanceDepartment/941ReportsDocs","Path","FileDirRef","Lookup"
"/sites/FinanceDepartment/941ReportsDocs","Modified","Last_x0020_Modified","Lookup"
"/sites/FinanceDepartment/941ReportsDocs","Created","Created_x0020_Date","Lookup"
"/sites/FinanceDepartment/941ReportsDocs","File Size","File_x0020_Size","Lookup"
"/sites/FinanceDepartment/941ReportsDocs","Item Type","FSObjType","Lookup"
"/sites/FinanceDepartment/941ReportsDocs","Sort Type","SortBehavior","Lookup"
"/sites/FinanceDepartment/941ReportsDocs","Effective Permissions Mask","PermMask","Computed"
"/sites/FinanceDepartment/941ReportsDocs","Principal Count","PrincipalCount","Computed"
"/sites/FinanceDepartment/941ReportsDocs","ID of the User who has the item Checked Out","CheckedOutUserId","Lookup"
"/sites/FinanceDepartment/941ReportsDocs","Is Checked out to local","IsCheckedoutToLocal","Lookup"
"/sites/FinanceDepartment/941ReportsDocs","Checked Out To","CheckoutUser","User"
"/sites/FinanceDepartment/941ReportsDocs","Name","FileLeafRef","File"
"/sites/FinanceDepartment/941ReportsDocs","Unique Id","UniqueId","Lookup"
