"NodeCode","NodeTitle","NodeType","URL"
"1031","Home","Parent","/sites/CityHallITDept"
"2002","Conversations","Parent","/sites/CityHallITDept/_layouts/15/groupstatus.aspx?Target=CONVERSATIONS&Source=QuickLaunch"
"2176","Configuration","Parent",""
"2071","Liftstation Configs","Child","/sites/CityHallITDept/Lists/Liftstation Configurations"
"2179","Libraries & Lists","Parent",""
"2262","Contractor Access","Child","/sites/CityHallITDept/Lists/Contractor Access/AllItems.aspx"
"2003","Documents","Child","/sites/CityHallITDept/Shared Documents/Forms/AllItems.aspx"
"2112","IT Assets","Child","/sites/CityHallITDept/Lists/IT Assets/AllItems.aspx"
"2249","Notifications","Child","/sites/CityHallITDept/Notifications/Forms/AllItems.aspx"
"2177","Procedures","Parent",""
"2072","IT Procedures","Child","/sites/CityHallITDept/Lists/IT Procedures/AllItems.aspx"
"2204","PASSWORD CHANGE LINK","Child","https://pfpwd.postfalls.gov/RDWeb/Pages/en-US/password.aspx"
"2114","PC Build procedures","Child","/sites/CityHallITDept/Lists/PC Build procedures/AllItems.aspx"
"2178","Reference","Parent",""
"2066","Master IPs","Child","/sites/CityHallITDept/Lists/Master IPs/Search by Device.aspx"
"2212","Tips & Tricks","Parent","/sites/CityHallITDept/Lists/Tips_Tricks/AllItems.aspx"
"2161","SharePoint","Parent",""
"2159","Helpful SP URLs","Child","/sites/CityHallITDept/Lists/Helpful_SP_URLs"
"2164","NITRO Backups","Child","/sites/CityHallITDept/NITRO Backups/Forms/BySite.aspx"
"2165","NITRO Variables","Child","https://postfallsidahoorg.sharepoint.com/Lists/NITROvariables/AllItems.aspx"
"2175","Crow Canyon support tickets","Child","/sites/CityHallITDept/Lists/CrowCanyonSupportTickets/Open Tickets.aspx"
"2184","Change Log","Parent","/sites/CityHallITDept/Lists/ChangeLog/AllItems.aspx"
"1026","Subsites","Parent","/sites/CityHallITDept/_layouts/15/viewlsts.aspx?ShowSites=1"
"2194","Training Playground","Child","/sites/CityHallITDept/training"
"2150","Admin","Parent",""
"2213","Admin Links","Child",""
"2151","NITRO Apps","Child","/sites/CityHallITDept/_layouts/15/appredirect.aspx?client_id=1fecf81a-a6de-47d8-97b9-f23164792f2d&redirect_uri=https%3a%2f%2fnitrostudio.azurewebsites.net%2FPages%2FNitroApps.aspx%3F{StandardTokens}%26r_webId=67626233-f7b9-4f7f-b3b3-8b55d9829be5"
"2200","Add PD user steps","Child","/sites/CityHallITDept/SitePages/Granting-access-for-a-PD-employee-to-SharePoint.aspx"
"2155","Navigation","Child","/sites/CityHallITDept/_layouts/15/AreaNavigationSettings.aspx"
"2156","Helpful SP URLs","Child","/sites/CityHallITDept/Lists/Helpful_SP_URLs/AllItems.aspx"
"2154","Site Settings","Child","/sites/CityHallITDept/_layouts/15/settings.aspx"
"2153","Site Contents","Child","/sites/CityHallITDept/_layouts/15/viewlsts.aspx?view=14"
"2216","Temp/Test","Parent",""
"2265","Move H drive","Child","https://postfallsidahoorg.sharepoint.com/sites/CityHallITDept-MoveHDrivetoOneDriveProject"
"2244","Demo Site","Child","https://postfallsidahoorg.sharepoint.com/sites/Demo"
"2232","Assets","Child",""
"2217","Search Testing","Child",""
"2228","Granting access for a PD employee to SharePoint","Child","/sites/CityHallITDept/SitePages/Granting-access-for-a-PD-employee-to-SharePoint.aspx"
"2245","Source Code - GIT","Parent","/sites/CityHallITDept/SourceCodeGIT/Forms/AllItems.aspx"
"2253","Office Scripts","Parent","/sites/CityHallITDept/OfficeScripts/Forms/AllItems.aspx"
"2264","Training Playground","Parent","/sites/CityHallITDept/training"
"2267","H Drive conversions","Parent","/sites/CityHallITDept/Lists/H Drive conversions/calendar.aspx"
