"Title","Created","Site","Path","Search","Mod"
"SearchResults(Bradford AND Phillips)","10/30/2023 9:55:07 PM","https://postfallsidahoorg-my.sharepoint.com/personal/amalin_postfalls_gov","https://postfallsidahoorg-my.sharepoint.com/personal/amalin_postfalls_gov/Documents/Documents/WindowsPowerShell/Output/Search/SearchResults(Bradford AND Phillips).csv","Bradford AND Phillips","10/30/2023 11:07:26 PM"
"MiscXferNotes","11/30/2022 10:28:43 PM","https://postfallsidahoorg-my.sharepoint.com/personal/amalin_postfalls_gov","https://postfallsidahoorg-my.sharepoint.com/personal/amalin_postfalls_gov/Documents/Documents/sharepoint/MiscXferNotes.xlsx","Bradford AND Phillips","10/30/2023 9:51:58 PM"
"IT Search Terms","10/27/2023 6:43:02 PM","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment/Forms to Review/Legal Department/Claims & Litigation/2023 Liberty Bankers/IT Search Terms.docx","Bradford AND Phillips","10/27/2023 7:52:34 PM"
"Liberty (178) - Third Party Subpoena for Documents- City of Post Falls 9-21-23(120941133.1)","10/10/2023 7:43:13 PM","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment/Forms to Review/Legal Department/Claims & Litigation/2023 Liberty Bankers/Liberty (178) - Third Party Subpoena for Documents- City of Post Falls 9-21-23(120941133.1).docx","Bradford AND Phillips","10/10/2023 7:07:05 PM"
"20230929 Subpoena Duces Tecum","10/10/2023 6:09:56 PM","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment/Forms to Review/Legal Department/Claims & Litigation/2023 Liberty Bankers/20230929 Subpoena Duces Tecum.pdf","Bradford AND Phillips","10/10/2023 6:09:34 PM"
"2023 Prelim New Development (with URDs Pending Library) 6-5-23","6/8/2023 6:57:49 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Budget Docs/Fiscal Year 2024/Tax Levy Docs/2023 Prelim New Development (with URDs Pending Library) 6-5-23.xlsx","Bradford AND Phillips","6/12/2023 3:38:34 PM"
"2023.01.18 Amendment - Post Falls Landing 2nd CIA","2/3/2023 10:48:41 PM","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment/Forms to Review/Community Development Department/Engineering/2022 Liberty CIA Default/2023.01.18 Amendment - Post Falls Landing 2nd CIA.pdf","Bradford AND Phillips","2/3/2023 10:48:40 PM"
"Construction Improvement Agreement","1/13/2023 6:44:45 PM","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment/Forms to Review/Community Development Department/Engineering/2022 Liberty CIA Default/2023.01.18 Amendment - Post Falls Landing 2nd CIA.docx","Bradford AND Phillips","2/3/2023 10:48:00 PM"
"McReynolds Drive - Grant of Right of Way  1.31.23","5/4/2023 6:39:37 PM","https://postfallsidahoorg.sharepoint.com/sites/CommunityDevelopment","https://postfallsidahoorg.sharepoint.com/sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/2010 - 2019 Archive/Post Falls Landing 2nd Add/201 ENG Legal for POST FALLS LANDING 2ND ADDITION (ID 186681)/McReynolds Drive - Grant of Right of Way  1.31.23.pdf","Bradford AND Phillips","1/31/2023 10:59:43 PM"
"GRANT OF RIGHT-OF-WAY","5/4/2023 6:39:43 PM","https://postfallsidahoorg.sharepoint.com/sites/CommunityDevelopment","https://postfallsidahoorg.sharepoint.com/sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/2010 - 2019 Archive/Post Falls Landing 2nd Add/201 ENG Legal for POST FALLS LANDING 2ND ADDITION (ID 186681)/McReynolds Drive - Grant of Right of Way  1.31.23.doc","Bradford AND Phillips","1/31/2023 5:55:00 PM"
