"Title","Created","Site","Path","Search","Mod"
"MiscXferNotes","11/30/2022 10:28:43 PM","https://postfallsidahoorg-my.sharepoint.com/personal/amalin_postfalls_gov","https://postfallsidahoorg-my.sharepoint.com/personal/amalin_postfalls_gov/Documents/Documents/sharepoint/MiscXferNotes.xlsx","David AND Wilcox","10/30/2023 11:13:24 PM"
"Sanitation Requests","3/2/2023 2:30:51 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Worksheets1/3000/January/Utility Post Falls San Requests.xlsx","David AND Wilcox","10/30/2023 10:14:23 PM"
"IT Search Terms","10/27/2023 6:43:02 PM","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment/Forms to Review/Legal Department/Claims & Litigation/2023 Liberty Bankers/IT Search Terms.docx","David AND Wilcox","10/27/2023 7:52:34 PM"
"Utility Online Payments Reconciliation 10-2022","9/27/2022 4:12:53 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Worksheets1/2023/October/Utility Online Payments Reconciliation 10-2023.xlsx","David AND Wilcox","10/12/2023 5:18:35 PM"
"Utility Online Payments Reconciliation 10-2022","8/31/2023 4:34:58 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Worksheets1/2023/September/Utility Online Payments Reconciliation 09-2023.xlsx","David AND Wilcox","10/12/2023 5:18:16 PM"
"Liberty (178) - Third Party Subpoena for Documents- City of Post Falls 9-21-23(120941133.1)","10/10/2023 7:43:13 PM","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment/Forms to Review/Legal Department/Claims & Litigation/2023 Liberty Bankers/Liberty (178) - Third Party Subpoena for Documents- City of Post Falls 9-21-23(120941133.1).docx","David AND Wilcox","10/10/2023 7:07:05 PM"
"20230929 Subpoena Duces Tecum","10/10/2023 6:09:56 PM","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment","https://postfallsidahoorg.sharepoint.com/sites/LegalDepartment/Forms to Review/Legal Department/Claims & Litigation/2023 Liberty Bankers/20230929 Subpoena Duces Tecum.pdf","David AND Wilcox","10/10/2023 6:09:34 PM"
"Utility Online Payments Reconciliation 10-2022","4/28/2023 5:53:01 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Worksheets1/2023/May/Utility Online Payments Reconciliation 05-2023   (1).xlsx","David AND Wilcox","10/2/2023 4:24:32 PM"
"Utility Online Payments Reconciliation 10-2022","6/30/2023 5:16:55 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Worksheets1/2023/July/Utility Online Payments Reconciliation 07-2023.xlsx","David AND Wilcox","9/19/2023 5:26:00 PM"
"Utility Online Payments Reconciliation 10-2022","7/31/2023 11:56:39 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Worksheets1/2023/August/Utility Online Payments Reconciliation 08-2023.xlsx","David AND Wilcox","9/6/2023 8:49:34 PM"
"Utility Online Payments Reconciliation 10-2022","6/1/2023 4:04:38 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Worksheets1/2023/June/Utility Online Payments Reconciliation 06-2023.xlsx","David AND Wilcox","8/18/2023 6:07:43 PM"
"Account Balance Jul 23","8/3/2023 10:23:01 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2023/Utility/Monthly Account Balance Reports/Account Balance Jul 23.pdf","David AND Wilcox","8/3/2023 10:22:09 PM"
"Account Balance Apr 23","8/3/2023 10:22:56 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2023/Utility/Monthly Account Balance Reports/Account Balance Apr 23.pdf","David AND Wilcox","8/3/2023 10:20:06 PM"
"Account Balance May 23","8/3/2023 10:22:55 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2023/Utility/Monthly Account Balance Reports/Account Balance May 23.pdf","David AND Wilcox","8/3/2023 10:18:15 PM"
