"Title","Created","Site","Path"
"Copy of Post Falls 2020 Certified Values for 2021 tax","12/22/2020 8:24:22 PM","https://postfallsidahoorg-my.sharepoint.com/personal/senderud_postfalls_gov","https://postfallsidahoorg-my.sharepoint.com/personal/senderud_postfalls_gov/Documents/H Drive/budget/FY 21/Copy of Post Falls 2020 Certified Values for 2021 tax.xlsx"
"February 2021 - Cycle 02.pdf","5/11/2021 4:27:31 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/February 2021 - Cycle 02 (ID 390972).pdf"
"May 2020 - Cycle 02.pdf","5/11/2021 4:31:33 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/May 2020 - Cycle 02 (ID 383552).pdf"
"Zone 2 Billing 11.30.21","12/3/2021 7:42:56 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/Zone 2 Billing 11.30.21.pdf"
"June 2020 - Cycle 02.pdf","5/11/2021 4:29:58 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/June 2020 - Cycle 02 (ID 384233).pdf"
"JULY RESI US Garbage Report - 6299.pdf","5/11/2021 5:06:13 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/JULY RESI US Garbage Report - 6299 (ID 370175).pdf"
"February 2020 - Cycle 02.pdf","5/11/2021 4:27:12 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/February 2020 - Cycle 02 (ID 380727).pdf"
"JUNE RESI US Garbage Report - 4347.pdf","5/11/2021 5:06:15 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/JUNE RESI US Garbage Report - 4347 (ID 368039).pdf"
"July Bills Zone 2 06.29.21","6/30/2021 5:16:46 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/July Bills Zone 2 06.29.21.pdf"
"December 2021 - Cycle 02.pdf","5/11/2021 4:26:31 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/December 2021 - Cycle 02 (ID 389316).pdf"
"Zone 2 September Billing 08.30.21","9/2/2021 3:23:02 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/Zone 2 September Billing 08.30.21.pdf"
"August 2020 - Cycle 02.pdf","5/11/2021 4:25:49 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/August 2020 - Cycle 02 (ID 386170).pdf"
"Cut Off Register.pdf","5/11/2021 5:05:10 PM","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment","https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/Cut Off Register (ID 391575).pdf"
