Title,Created,Site,Path
2023 Prelim New Development (with URDs Pending Library) 6-5-23,6/8/2023 18:57,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Budget Docs/Fiscal Year 2024/Tax Levy Docs/2023 Prelim New Development (with URDs Pending Library) 6-5-23.xlsx
311523_380094_Daily Cash Report - 5-22-2017.pdf,12/3/2022 9:47,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/Budgetary_Docs_MFiles/311523_380094_Daily Cash Report - 5-22-2017.pdf
Acknowledgement Letter,11/28/2022 22:49,https://postfallsidahoorg.sharepoint.com/sites/SitePlanReviews,"https://postfallsidahoorg.sharepoint.com/sites/SitePlanReviews/Site Plan Review Documents/Landing at Post Falls, The SPR-0039-2021/05 App Material for Landing at Post Falls, The SPR-0039-2021 (ID 198361)/Acknowledgement Letter.pdf"
April 2020 - Cycle 02.pdf,5/11/2021 16:24,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/April 2020 - Cycle 02 (ID 382828).pdf
April 2021 - Cycle 02.pdf,5/11/2021 16:25,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/April 2021 - Cycle 02 (ID 392423).pdf
April Billing Zone 2 03.30.22,4/5/2022 14:54,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/April Billing Zone 2 03.30.22.pdf
April Deposit Listing - 3802.pdf,4/29/2021 16:36,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/April Deposit Listing - 3802 (ID 279130).pdf
April Deposit Listing.pdf,4/29/2021 16:15,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2020/Utility-Monthly Deposit Reports/April Deposit Listing (ID 383598).pdf
APRIL US Deposit Listing - 2357.pdf,4/29/2021 16:15,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/APRIL US Deposit Listing - 2357 (ID 379405).pdf
AUG RESI US Garbage Report - 8216.pdf,5/11/2021 17:04,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/AUG RESI US Garbage Report - 8216 (ID 372297).pdf
August 2019 - Cycle 02.pdf,5/11/2021 16:25,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/August 2019 - Cycle 02 (ID 370013).pdf
August 2020 - Cycle 02.pdf,5/11/2021 16:25,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/August 2020 - Cycle 02 (ID 386170).pdf
August Billing Zone 2 07.29.21,8/3/2021 18:32,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/August Billing Zone 2 07.29.21.pdf
August US Deposit Listing - 8218.pdf,4/29/2021 16:15,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/August US Deposit Listing - 8218 (ID 372298).pdf
Copy of Post Falls 2020 Certified Values for 2021 tax,12/22/2020 20:24,https://postfallsidahoorg-my.sharepoint.com/personal/senderud_postfalls_gov,https://postfallsidahoorg-my.sharepoint.com/personal/senderud_postfalls_gov/Documents/H Drive/budget/FY 21/Copy of Post Falls 2020 Certified Values for 2021 tax.xlsx
Cut Off Register.pdf,5/11/2021 17:05,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/Cut Off Register (ID 391575).pdf
Daily Cash Report - 11-3-2020.pdf,5/5/2021 22:37,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/BudgetaryDocsArchive/Daily Cash Report - 11-3-2020 (ID 388702).pdf
Daily Cash Report - 9-23-2019.pdf,5/5/2021 23:48,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/BudgetaryDocsArchive/Daily Cash Report - 9-23-2019 (ID 373607).pdf
December 2020 - Cycle 02.pdf,5/11/2021 16:26,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/December 2020 - Cycle 02 (ID 377557).pdf
December 2021 - Cycle 02.pdf,5/11/2021 16:26,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/December 2021 - Cycle 02 (ID 389316).pdf
December Bills Zone 2 12.29.21,1/5/2022 18:47,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/December Bills Zone 2 12.29.21.pdf
December Deposit Listing - 3114.pdf,4/29/2021 16:29,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/December Deposit Listing - 3114 (ID 268250).pdf
DECEMBER US Deposit Listing - 2353.pdf,4/29/2021 16:18,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2019/Utility-Monthly Deposit Reports/DECEMBER US Deposit Listing - 2353 (ID 379401).pdf
Deposit Listing August.pdf,4/29/2021 16:18,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2020/Utility-Monthly Deposit Reports/Deposit Listing August (ID 386950).pdf
Deposit Listing DEC.pdf,4/29/2021 16:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing DEC (ID 389572).pdf
Deposit Listing DEC.pdf,4/29/2021 16:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2020/Utility-Monthly Deposit Reports/Deposit Listing DEC (ID 389572).pdf
Deposit Listing JAN.pdf,4/29/2021 16:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing JAN (ID 389573).pdf
Deposit Listing JULY.pdf,4/29/2021 16:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2020/Utility-Monthly Deposit Reports/Deposit Listing JULY (ID 386251).pdf
Deposit Listing NOV.pdf,4/29/2021 16:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing NOV (ID 389570).pdf
Deposit Listing OCT.pdf,4/29/2021 16:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2020/Utility-Monthly Deposit Reports/Deposit Listing OCT (ID 389569).pdf
Deposit Listing SEPT.pdf,4/29/2021 16:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Deposit Listing SEPT (ID 387787).pdf
Deposit Listing.pdf,5/11/2021 17:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/Deposit Listing (ID 380147).pdf
Feb Deposit Listing.pdf,4/29/2021 16:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/Feb Deposit Listing (ID 382004).pdf
Feb Deposit Listing.pdf,4/29/2021 16:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2020/Utility-Monthly Deposit Reports/Feb Deposit Listing (ID 382004).pdf
February 2020 - Cycle 02.pdf,5/11/2021 16:27,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/February 2020 - Cycle 02 (ID 380727).pdf
February 2021 - Cycle 02.pdf,5/11/2021 16:27,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/February 2021 - Cycle 02 (ID 390972).pdf
February 2021 - Cycle 02.pdf,5/11/2021 16:27,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/February 2021 - Cycle 02 (ID 390977).pdf
February Deposit Listing.pdf,4/29/2021 16:29,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/February Deposit Listing (ID 272586).pdf
February Deposit Listing.pdf,4/29/2021 16:29,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2016/Utility-Monthly Deposit Reports/February Deposit Listing (ID 272586).pdf
FEBRUARY US Deposit Listing - 2355.pdf,4/29/2021 16:19,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/FEBRUARY US Deposit Listing - 2355 (ID 379403).pdf
FEBRUARY US Deposit Listing - 2355.pdf,4/29/2021 16:19,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2019/Utility-Monthly Deposit Reports/FEBRUARY US Deposit Listing - 2355 (ID 379403).pdf
January 2020 - Cycle 02.pdf,5/11/2021 16:28,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/January 2020 - Cycle 02 (ID 379298).pdf
January 2021 - Cycle 02.pdf,5/11/2021 16:28,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/January 2021 - Cycle 02 (ID 390045).pdf
January Billing Zone 2 01.28.22,2/2/2022 16:38,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/January Billing Zone 2 01.28.22.pdf
January Deposit Listing - 5519.pdf,4/29/2021 16:37,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/January Deposit Listing - 5519 (ID 270484).pdf
January Deposit Listing - 5519.pdf,4/29/2021 16:37,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2016/Utility-Monthly Deposit Reports/January Deposit Listing - 5519 (ID 270484).pdf
JANUARY US Deposit Listing - 2354.pdf,4/29/2021 16:20,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments/JANUARY US Deposit Listing - 2354 (ID 379402).pdf
JANUARY US Deposit Listing - 2354.pdf,4/29/2021 16:20,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/AuditDocuments1/2019/Utility-Monthly Deposit Reports/JANUARY US Deposit Listing - 2354 (ID 379402).pdf
July 2020 - Cycle 02.pdf,5/11/2021 16:29,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/July 2020 - Cycle 02 (ID 385190).pdf
July Bills Zone 2 06.29.21,6/30/2021 17:16,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/July Bills Zone 2 06.29.21.pdf
JULY RESI US Garbage Report - 6299.pdf,5/11/2021 17:06,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment,https://postfallsidahoorg.sharepoint.com/sites/FinanceDepartment/FinanceDocuments/JULY RESI US Garbage Report - 6299 (ID 370175).pdf
