"Visible","Url","Id","Order","ParentTitle","Level","Title","ParentId"
"True","https://postfallsidahoorg.sharepoint.com","2025","1","","Level 1","City Intranet","0"
"True","https://postfallsidahoorg.sharepoint.com/sites/CommunityDevelopment","2064","2","","Level 1","Community Development","0"
"True","/sites/CommunityDevelopmentProjects","2039","3","","Level 1","CommDev Projects","0"
"True","https://postfallsidahoorg.sharepoint.com/sites/AdministrativeApplications","2010","4","","Level 1","Admin Applications","0"
"True","https://postfallsidahoorg.sharepoint.com/sites/CapitalImprovementProjects","2012","5","","Level 1","Capital Improvements","0"
"True","http://linkless.header/","2024","6","","Level 1","CD Misc","0"
"True","https://postfallsidahoorg.sharepoint.com/sites/CDSpecialEvents","2013","7","CD Misc","Level 2","CD Special Events","2024"
"True","https://postfallsidahoorg.sharepoint.com/sites/CDSpecialProjects","2014","8","CD Misc","Level 2","CD Special Projects","2024"
"True","https://postfallsidahoorg.sharepoint.com/sites/CDVacations","2015","9","CD Misc","Level 2","CD Vacations","2024"
"True","https://postfallsidahoorg.sharepoint.com/sites/CDWirelessProject","2016","10","CD Misc","Level 2","CD Wireless Project","2024"
"True","https://postfallsidahoorg.sharepoint.com/sites/Variances","2027","11","CD Misc","Level 2","Variances","2024"
"True","https://postfallsidahoorg.sharepoint.com/sites/MassGrading","2017","12","","Level 1","Mass Grading","0"
"True","https://postfallsidahoorg.sharepoint.com/sites/PUD","2018","13","","Level 1","PUD","0"
"True","https://postfallsidahoorg.sharepoint.com/sites/SitePlanReviews","2019","14","","Level 1","Site Plan Reviews","0"
"True","https://postfallsidahoorg.sharepoint.com/sites/SmartCode","2020","15","","Level 1","Smart Code","0"
"True","https://postfallsidahoorg.sharepoint.com/sites/SpecialUsePermit","2021","16","","Level 1","Special Use Permit","0"
"True","https://postfallsidahoorg.sharepoint.com/sites/Subdivisions","2022","17","","Level 1","Subdivisions","0"
"True","https://postfallsidahoorg.sharepoint.com/sites/ZoneChange","2023","18","","Level 1","Zone Change","0"
