"Id","DirName","Title","Size","DeletedDate","ItemType","ItemState","DeletedByName"
"44e62dcc-c5d2-4356-a47d-19307c463385","sites/CityClerkDepartment/Policies","Zoom Meetings Procedure.pdf","844590","2/16/2024 4:52:12 AM","File","FirstStageRecycleBin","System Account"
"40669a51-41c5-4279-9e7e-4190f8a28e8e","sites/CityClerkDepartment/Shared Documents","Zero DB Communications, LLC - 1-1-2021 (ID 160173).pdf","106065","2/16/2024 4:45:55 AM","File","FirstStageRecycleBin","System Account"
"d32c6162-9f7c-4dbd-92f6-ff3895f0e4f9","sites/CityClerkDepartment/Shared Documents","Zero DB Communications, LLC - 1-1-2021 (ID 159715).pdf","82974","2/16/2024 4:31:11 AM","File","FirstStageRecycleBin","System Account"
"56b21677-53a6-4e66-9df2-830368f4da03","sites/CityClerkDepartment/Shared Documents","Zero DB Communications - 1-1-2021 (ID 160217).pdf","80632","2/16/2024 4:25:03 AM","File","FirstStageRecycleBin","System Account"
"e933c527-f970-42f5-8894-16e5900f87b8","sites/CityClerkDepartment/Shared Documents","Zero DB Communications - 1-1-2021 (ID 159889).pdf","670295","2/16/2024 4:23:31 AM","File","FirstStageRecycleBin","System Account"
"db3e3eda-7a36-4247-b924-5904fbf69706","sites/CityClerkDepartment/Shared Documents","Zero DB Communications - 1-1-2020 (ID 159093).pdf","80014","2/16/2024 4:49:39 AM","File","FirstStageRecycleBin","System Account"
"d42eca1c-8f49-42fa-840c-7d59dff6127e","sites/CityClerkDepartment/CertificatesOfInsurance","Young Construction Group of Idaho, Inc. 01.31.23.pdf","282618","2/16/2024 4:46:05 AM","File","FirstStageRecycleBin","System Account"
"da08f13e-e14e-483f-90ee-11a0220968c3","sites/CityClerkDepartment/ClerkBudgetDocuments","Year 2010 Budget Amendment building (ID 149198).doc","498607","2/16/2024 4:41:09 AM","File","FirstStageRecycleBin","System Account"
"e147a021-e39a-4562-8fed-e0d81ea5a7c5","sites/CityClerkDepartment/CertificatesOfInsurance","Xylem Water Solutions USA, Inc. 10.31.22.pdf","372883","2/16/2024 4:25:35 AM","File","FirstStageRecycleBin","System Account"
"ee1e8d16-01c2-4c4c-a908-480244d671c5","sites/CityClerkDepartment/Shared Documents","Xylem Water Solutions USA, Inc - 10-31-2021 (ID 160271).pdf","1162550","2/16/2024 4:29:01 AM","File","FirstStageRecycleBin","System Account"
